Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,State,BodyType,Doors,Seats,Price,Cylinders,Capacity(Liters),Country
Toyota,2022,RAV4,SUV,2022 Toyota RAV4 GX (awd) Hybrid,USED,Automatic,AWD,Hybrid,4.8,53960,White / 74Fb20,New South Wales,SUV,5,5,49990,4,2.5,Australia
Holden,2015,Commodore,Sedan,2015 Holden Commodore SS,USED,Manual,Rear,Premium,11.5,32872,Silver / -,New South Wales,Sedan,4,5,48990,8,6.0,Australia
Mercedes-Benz,2015,E200,Coupe,2015 Mercedes-Benz E200,USED,Automatic,Rear,Premium,6.0,47899,Black / -,Victoria,Coupe,2,4,44990,4,2.0,Australia
Iveco,2019,Daily,Commercial,2019 Iveco Daily 35S17 Blue Edition (3520L),USED,Automatic,Rear,Diesel,0.0,347128,White / -,New South Wales,Commercial,2,3,26950,4,2.3,Australia
LDV,2020,T60,Ute / Tray,2020 LDV T60 Mega TUB (4X4),USED,Automatic,4WD,Diesel,9.6,57902,White / -,New South Wales,Ute / Tray,4,5,32990,4,2.8,Australia
Toyota,2020,Landcruiser,SUV,2020 Toyota Landcruiser Prado GX 7 Seat,USED,Automatic,4WD,Diesel,7.9,72096,White / -,New South Wales,SUV,4,7,61900,4,2.8,Australia
Ford,2022,Escape,SUV,2022 Ford Escape ST-Line (fwd),USED,Automatic,Front,Premium,8.6,13467,White / -,New South Wales,SUV,4,5,41990,4,2.0,Australia
Mazda,2022,CX-5,Rockdale Mazda New,2022 Mazda CX-5 Touring (awd),DEMO,Automatic,AWD,Unleaded,7.5,996,White / Black Maztex/Cloth,New South Wales,SUV,4,5,48388,4,2.5,Australia
Holden,2014,Captiva,SUV,2014 Holden Captiva 7 LTZ (4X4),USED,Automatic,AWD,Diesel,8.1,178126,White / -,New South Wales,SUV,4,7,11200,4,2.2,Australia
Chrysler,2017,300,Sedan,2017 Chrysler 300 SRT Core,USED,Automatic,Rear,Premium,13.0,59700,Black / -,New South Wales,Sedan,4,5,71950,8,6.4,Australia
Kia,2018,Sorento,SUV,2018 Kia Sorento SI (4X4),USED,Automatic,AWD,Diesel,7.2,44446,Black / Black,New South Wales,SUV,4,7,36777,4,2.2,Australia
Porsche,2003,Cayenne,SUV,2003 Porsche Cayenne Turbo,USED,Automatic,AWD,Premium,15.7,138332,Black / Black,New South Wales,SUV,4,5,25880,8,4.5,Australia
Honda,2012,CR-V,SUV,2012 Honda CR-V VTI-L (4X4),USED,Automatic,4WD,Unleaded,8.7,62225,Brown / -,New South Wales,SUV,4,5,21990,4,2.4,Australia
Isuzu,2015,D-MAX,Ute / Tray,2015 Isuzu D-MAX SX (4X4),USED,Automatic,4WD,Diesel,8.1,115004,White / -,New South Wales,Ute / Tray,2,4,29800,4,3.0,Australia
Ford,2014,Ranger,Ute / Tray,2014 Ford Ranger XL 3.2 (4X4),USED,Manual,4WD,Diesel,8.9,210604,White / -,Victoria,Ute / Tray,4,4,28990,5,3.2,Australia
Nissan,2018,GT-R,Coupe,2018 Nissan GT-R Premium,USED,Automatic,AWD,Premium,11.7,26500,Black / Black,New South Wales,Coupe,2,4,248888,6,3.8,Australia
Toyota,2018,Hilux,Ute / Tray,2018 Toyota Hilux Workmate,USED,Manual,Rear,Diesel,7.7,130446,White / Grey,New South Wales,Ute / Tray,2,2,28999,4,2.4,Australia
Ford,2016,Ranger,Ute / Tray,2016 Ford Ranger XL 2.2 HI-Rider (4X2),USED,Automatic,Rear,Diesel,7.5,166987,White / -,New South Wales,Ute / Tray,4,4,24950,4,2.2,Australia
Volkswagen,2018,Transporter,Ute / Tray,2018 Volkswagen Transporter TDI 340 LWB,USED,Automatic,Front,Diesel,8.5,203129,Silver / -,New South Wales,Ute / Tray,2,2,26800,4,2.0,Australia
MG,2022,HS,Alto Blacktown MG,2022 MG HS Vibe,DEMO,Automatic,Front,Unleaded,7.3,15,Black / -,New South Wales,SUV,4,5,30690,4,1.5,Australia
